method_key,method,query_id,precision_at_k,recall_at_k,mrr,ndcg_at_k,map,top_k,predicted_ids
composite,Production composite,cv_01,0.4,1.0,1.0,0.9327783893101107,0.7,5,job_01|job_06|job_04|job_10|job_07
composite,Production composite,cv_02,0.4,1.0,1.0,0.9639404333166532,0.8333333333333333,5,job_02|job_08|job_13|job_01|job_04
composite,Production composite,cv_03,0.4,1.0,1.0,1.0,1.0,5,job_03|job_14|job_10|job_05|job_12
composite,Production composite,cv_04,0.4,1.0,1.0,0.9639404333166532,0.8333333333333333,5,job_04|job_01|job_15|job_06|job_02
composite,Production composite,cv_05,0.2,0.5,1.0,0.8262346571285599,0.6428571428571428,5,job_05|job_10|job_14|job_03|job_06
composite,Production composite,cv_06,0.4,1.0,1.0,1.0,1.0,5,job_01|job_06|job_04|job_10|job_11
composite,Production composite,cv_07,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,5,job_08|job_02|job_01|job_13|job_15
composite,Production composite,cv_08,0.2,1.0,1.0,1.0,1.0,5,job_13|job_02|job_08|job_04|job_15
composite,Production composite,cv_09,0.4,1.0,1.0,0.9639404333166532,0.8333333333333333,5,job_07|job_10|job_05|job_11|job_12
composite,Production composite,cv_10,0.4,1.0,1.0,1.0,1.0,5,job_15|job_04|job_01|job_02|job_13
composite,Production composite,cv_11,0.4,1.0,1.0,1.0,1.0,5,job_14|job_03|job_05|job_10|job_11
composite,Production composite,cv_12,0.4,1.0,1.0,1.0,1.0,5,job_06|job_01|job_04|job_11|job_10
composite,Production composite,cv_13,0.2,1.0,1.0,1.0,1.0,5,job_02|job_06|job_01|job_13|job_04
composite,Production composite,cv_14,0.4,1.0,1.0,1.0,1.0,5,job_01|job_04|job_06|job_15|job_13
composite,Production composite,cv_15,0.2,1.0,1.0,1.0,1.0,5,job_14|job_03|job_10|job_01|job_06
composite,Production composite,cv_16,0.4,1.0,1.0,1.0,1.0,5,job_08|job_02|job_13|job_15|job_06
composite,Production composite,cv_17,0.4,1.0,1.0,1.0,1.0,5,job_05|job_07|job_03|job_10|job_14
composite,Production composite,cv_18,0.4,1.0,1.0,1.0,1.0,5,job_01|job_04|job_06|job_08|job_15
composite,Production composite,cv_19,0.2,1.0,1.0,1.0,1.0,5,job_09|job_12|job_10|job_11|job_05
composite,Production composite,cv_20,0.2,1.0,1.0,1.0,1.0,5,job_11|job_06|job_01|job_12|job_13
composite,Production composite,cv_21,0.2,1.0,1.0,1.0,1.0,5,job_04|job_01|job_02|job_06|job_08
composite,Production composite,cv_22,0.4,1.0,1.0,1.0,1.0,5,job_15|job_04|job_13|job_02|job_06
composite,Production composite,cv_23,0.2,1.0,1.0,1.0,1.0,5,job_08|job_02|job_06|job_11|job_01
composite,Production composite,cv_24,0.4,1.0,1.0,1.0,1.0,5,job_01|job_06|job_10|job_14|job_13
composite,Production composite,cv_25,0.2,1.0,1.0,1.0,1.0,5,job_12|job_05|job_10|job_09|job_03
composite,Production composite,cv_26,0.2,1.0,1.0,1.0,1.0,5,job_15|job_04|job_13|job_02|job_01
composite,Production composite,cv_27,0.2,0.5,1.0,0.8262346571285599,0.6111111111111112,5,job_10|job_05|job_11|job_06|job_03
composite,Production composite,cv_28,0.2,1.0,1.0,1.0,1.0,5,job_11|job_01|job_08|job_04|job_15
composite,Production composite,cv_29,0.2,1.0,1.0,1.0,1.0,5,job_14|job_03|job_12|job_10|job_01
composite,Production composite,cv_30,0.2,1.0,1.0,1.0,1.0,5,job_13|job_02|job_15|job_01|job_08
