method_key,method,metric,mean,ci95_lo,ci95_hi,n_queries
compensation_only,Compensation only,nDCG@K,0.392938,0.269495,0.522207,30
compensation_only,Compensation only,MRR,0.457261,0.32812,0.594786,30
experience_only,Experience only,nDCG@K,0.32559,0.214765,0.447747,30
experience_only,Experience only,MRR,0.3838,0.272318,0.512927,30
full_composite,Full composite,nDCG@K,0.949236,0.872023,0.993115,30
full_composite,Full composite,MRR,0.972222,0.916667,1.0,30
location_only,Location only,nDCG@K,0.335427,0.221044,0.460523,30
location_only,Location only,MRR,0.387844,0.274696,0.511601,30
rrf_ensemble,RRF ensemble,nDCG@K,0.564324,0.440616,0.67979,30
rrf_ensemble,RRF ensemble,MRR,0.570342,0.450962,0.69562,30
semantic_only,Semantic only,nDCG@K,0.878177,0.790481,0.945651,30
semantic_only,Semantic only,MRR,0.931481,0.842593,1.0,30
semantic_skills,Semantic + skills,nDCG@K,0.916954,0.861915,0.961641,30
semantic_skills,Semantic + skills,MRR,0.961111,0.9,1.0,30
semantic_skills_experience,Semantic + skills + experience,nDCG@K,0.916318,0.861768,0.962588,30
semantic_skills_experience,Semantic + skills + experience,MRR,0.961111,0.9,1.0,30
skills_only,Skills only,nDCG@K,0.748122,0.61844,0.858737,30
skills_only,Skills only,MRR,0.815753,0.688356,0.933333,30
