baseline,compare,metric,baseline_mean,compare_mean,mean_diff,ci95_lo,ci95_hi,p_value,significant_at_05,wins,losses,ties,n_queries
Semantic cosine,BM25 (lexical),nDCG@K,0.878177,0.90234,0.024164,-0.057072,0.098701,0.2612,False,13,4,13,30
Semantic cosine,BM25 (lexical),MRR,0.931481,0.917778,-0.013704,-0.083333,0.047407,0.6496,False,3,2,25,30
Semantic cosine,Exact skill overlap,nDCG@K,0.878177,0.748122,-0.130055,-0.264033,0.000462,0.9746,False,5,16,9,30
Semantic cosine,Exact skill overlap,MRR,0.931481,0.815753,-0.115728,-0.243496,0.01266,0.9632,False,1,7,22,30
Semantic cosine,Multimodal weighted blend,nDCG@K,0.878177,0.923731,0.045554,0.002404,0.120765,0.0104,True,6,1,23,30
Semantic cosine,Multimodal weighted blend,MRR,0.931481,0.961111,0.02963,0.0,0.088889,0.3672,False,1,0,29,30
Semantic cosine,RRF ensemble,nDCG@K,0.878177,0.913141,0.034965,0.003279,0.083531,0.0088,True,8,3,19,30
Semantic cosine,RRF ensemble,MRR,0.931481,0.944444,0.012963,0.0,0.038889,0.3512,False,1,0,29,30
Semantic cosine,Semantic euclidean-derived,nDCG@K,0.878177,0.878177,0.0,0.0,0.0,1.0,False,0,0,30,30
Semantic cosine,Semantic euclidean-derived,MRR,0.931481,0.931481,0.0,0.0,0.0,1.0,False,0,0,30,30
Semantic cosine,Skills Jaccard,nDCG@K,0.878177,0.748122,-0.130055,-0.263631,-0.00109,0.9764,False,5,16,9,30
Semantic cosine,Skills Jaccard,MRR,0.931481,0.815753,-0.115728,-0.242828,0.006614,0.9688,False,1,7,22,30
Semantic cosine,Soft skill embedding,nDCG@K,0.878177,0.868885,-0.009291,-0.110508,0.097955,0.5868,False,10,11,9,30
Semantic cosine,Soft skill embedding,MRR,0.931481,0.910714,-0.020767,-0.120238,0.087037,0.6602,False,2,4,24,30
Semantic cosine,TF-IDF cosine (lexical),nDCG@K,0.878177,0.905223,0.027047,-0.052584,0.104675,0.251,False,11,8,11,30
Semantic cosine,TF-IDF cosine (lexical),MRR,0.931481,0.917778,-0.013704,-0.1,0.066667,0.625,False,3,3,24,30
