method,metric,top_k,score,latency_ms
BM25 (lexical),Precision@K,5,0.306667,0.112
BM25 (lexical),Recall@K,5,0.983333,0.112
BM25 (lexical),MRR,5,0.912222,0.112
BM25 (lexical),nDCG@K,5,0.893682,0.112
BM25 (lexical),MAP,5,0.838333,0.112
TF-IDF cosine (lexical),Precision@K,5,0.293333,0.072
TF-IDF cosine (lexical),Recall@K,5,0.95,0.072
TF-IDF cosine (lexical),MRR,5,0.917778,0.072
TF-IDF cosine (lexical),nDCG@K,5,0.89832,0.072
TF-IDF cosine (lexical),MAP,5,0.841984,0.072
Exact skill overlap,Precision@K,5,0.233333,0.026
Exact skill overlap,Recall@K,5,0.733333,0.026
Exact skill overlap,MRR,5,0.815753,0.026
Exact skill overlap,nDCG@K,5,0.748122,0.026
Exact skill overlap,MAP,5,0.680897,0.026
Semantic cosine,Precision@K,5,0.266667,0.226
Semantic cosine,Recall@K,5,0.866667,0.226
Semantic cosine,MRR,5,0.931481,0.226
Semantic cosine,nDCG@K,5,0.878177,0.226
Semantic cosine,MAP,5,0.809882,0.226
Semantic euclidean-derived,Precision@K,5,0.266667,0.21
Semantic euclidean-derived,Recall@K,5,0.866667,0.21
Semantic euclidean-derived,MRR,5,0.931481,0.21
Semantic euclidean-derived,nDCG@K,5,0.878177,0.21
Semantic euclidean-derived,MAP,5,0.809882,0.21
Skills Jaccard,Precision@K,5,0.233333,0.034
Skills Jaccard,Recall@K,5,0.733333,0.034
Skills Jaccard,MRR,5,0.815753,0.034
Skills Jaccard,nDCG@K,5,0.748122,0.034
Skills Jaccard,MAP,5,0.680897,0.034
Soft skill embedding,Precision@K,5,0.28,15.531
Soft skill embedding,Recall@K,5,0.9,15.531
Soft skill embedding,MRR,5,0.910714,15.531
Soft skill embedding,nDCG@K,5,0.868885,15.531
Soft skill embedding,MAP,5,0.829233,15.531
Multimodal weighted blend,Precision@K,5,0.286667,0.258
Multimodal weighted blend,Recall@K,5,0.933333,0.258
Multimodal weighted blend,MRR,5,0.961111,0.258
Multimodal weighted blend,nDCG@K,5,0.923731,0.258
Multimodal weighted blend,MAP,5,0.867037,0.258
RRF ensemble,Precision@K,5,0.293333,0.953
RRF ensemble,Recall@K,5,0.95,0.953
RRF ensemble,MRR,5,0.944444,0.953
RRF ensemble,nDCG@K,5,0.913141,0.953
RRF ensemble,MAP,5,0.845132,0.953
