method,metric,top_k,score,bi_encoder_ms,cross_encoder_ms,total_ms,rank_changes_top_k,queries_unchanged_top_k
Bi-encoder only,Precision@K,5,0.306667,0.408,0.0,0.408,0,30
Bi-encoder + cross-encoder,Precision@K,5,0.293333,0.374,141.373,141.747,30,0
Delta (CE - bi-encoder),Precision@K,5,-0.013333,-0.034,141.373,141.339,30,0
Bi-encoder only,Recall@K,5,0.983333,0.408,0.0,0.408,0,30
Bi-encoder + cross-encoder,Recall@K,5,0.95,0.374,141.373,141.747,30,0
Delta (CE - bi-encoder),Recall@K,5,-0.033333,-0.034,141.373,141.339,30,0
Bi-encoder only,MRR,5,0.944444,0.408,0.0,0.408,0,30
Bi-encoder + cross-encoder,MRR,5,0.832778,0.374,141.373,141.747,30,0
Delta (CE - bi-encoder),MRR,5,-0.111667,-0.034,141.373,141.339,30,0
Bi-encoder only,nDCG@K,5,0.941719,0.408,0.0,0.408,0,30
Bi-encoder + cross-encoder,nDCG@K,5,0.834007,0.374,141.373,141.747,30,0
Delta (CE - bi-encoder),nDCG@K,5,-0.107712,-0.034,141.373,141.339,30,0
Bi-encoder only,MAP,5,0.891111,0.408,0.0,0.408,0,30
Bi-encoder + cross-encoder,MAP,5,0.72,0.374,141.373,141.747,30,0
Delta (CE - bi-encoder),MAP,5,-0.171111,-0.034,141.373,141.339,30,0
