baseline,compare,metric,baseline_mean,compare_mean,mean_diff,ci95_lo,ci95_hi,p_value,significant_at_05,wins,losses,ties,n_queries
Semantic only,Compensation only,nDCG@K,0.878177,0.392938,-0.485238,-0.626854,-0.337101,1.0,False,2,27,1,30
Semantic only,Compensation only,MRR,0.931481,0.457261,-0.47422,-0.612828,-0.331414,1.0,False,1,20,9,30
Semantic only,Experience only,nDCG@K,0.878177,0.32559,-0.552587,-0.699807,-0.396196,1.0,False,3,25,2,30
Semantic only,Experience only,MRR,0.931481,0.3838,-0.547682,-0.67551,-0.412814,1.0,False,1,23,6,30
Semantic only,Full composite,nDCG@K,0.878177,0.941719,0.063542,0.003367,0.143686,0.0204,True,12,2,16,30
Semantic only,Full composite,MRR,0.931481,0.944444,0.012963,-0.061111,0.094444,0.3832,False,2,1,27,30
Semantic only,Location only,nDCG@K,0.878177,0.335427,-0.54275,-0.68828,-0.389351,1.0,False,5,25,0,30
Semantic only,Location only,MRR,0.931481,0.387844,-0.543638,-0.668373,-0.415926,1.0,False,1,23,6,30
Semantic only,RRF ensemble,nDCG@K,0.878177,0.564324,-0.313853,-0.463402,-0.169415,1.0,False,6,21,3,30
Semantic only,RRF ensemble,MRR,0.931481,0.570342,-0.36114,-0.486417,-0.233333,1.0,False,1,18,11,30
Semantic only,Semantic + skills,nDCG@K,0.878177,0.916954,0.038778,-0.00782,0.11674,0.0936,False,5,2,23,30
Semantic only,Semantic + skills,MRR,0.931481,0.961111,0.02963,0.0,0.088889,0.3616,False,1,0,29,30
Semantic only,Semantic + skills + experience,nDCG@K,0.878177,0.91672,0.038544,-0.008212,0.113536,0.1052,False,5,2,23,30
Semantic only,Semantic + skills + experience,MRR,0.931481,0.961111,0.02963,0.0,0.088889,0.354,False,1,0,29,30
Semantic only,Skills only,nDCG@K,0.878177,0.748122,-0.130055,-0.263989,0.00269,0.9716,False,5,16,9,30
Semantic only,Skills only,MRR,0.931481,0.815753,-0.115728,-0.24023,0.006734,0.9692,False,1,7,22,30
