method_key,method,metric,mean,ci95_lo,ci95_hi,n_queries
compensation_only,Compensation only,nDCG@K,0.392938,0.269914,0.519078,30
compensation_only,Compensation only,MRR,0.457261,0.328493,0.59386,30
experience_only,Experience only,nDCG@K,0.32559,0.215253,0.441348,30
experience_only,Experience only,MRR,0.3838,0.27171,0.504776,30
full_composite,Full composite,nDCG@K,0.941719,0.880947,0.987197,30
full_composite,Full composite,MRR,0.944444,0.877778,1.0,30
location_only,Location only,nDCG@K,0.335427,0.222762,0.458146,30
location_only,Location only,MRR,0.387844,0.277275,0.517672,30
rrf_ensemble,RRF ensemble,nDCG@K,0.564324,0.442319,0.687282,30
rrf_ensemble,RRF ensemble,MRR,0.570342,0.450962,0.696944,30
semantic_only,Semantic only,nDCG@K,0.878177,0.79548,0.945591,30
semantic_only,Semantic only,MRR,0.931481,0.846296,1.0,30
semantic_skills,Semantic + skills,nDCG@K,0.916954,0.863244,0.962935,30
semantic_skills,Semantic + skills,MRR,0.961111,0.9,1.0,30
semantic_skills_experience,Semantic + skills + experience,nDCG@K,0.91672,0.861831,0.96299,30
semantic_skills_experience,Semantic + skills + experience,MRR,0.961111,0.9,1.0,30
skills_only,Skills only,nDCG@K,0.748122,0.620017,0.86376,30
skills_only,Skills only,MRR,0.815753,0.687831,0.930159,30
