study,method_key,method,family,precision_at_k,recall_at_k,mrr,ndcg_at_k,map,latency_ms
lexical_vs_embedding,bm25,BM25 (lexical),lexical,0.3066666666666667,0.9833333333333333,0.9122222222222223,0.8936820170233999,0.8383333333333334,0.112
lexical_vs_embedding,tfidf_cosine,TF-IDF cosine (lexical),lexical,0.29333333333333333,0.95,0.9177777777777778,0.8983204938402902,0.841984126984127,0.072
lexical_vs_embedding,exact_skill_overlap,Exact skill overlap,lexical,0.23333333333333334,0.7333333333333333,0.8157531357531358,0.7481217031530997,0.6808966033966034,0.026
lexical_vs_embedding,semantic_cosine,Semantic cosine,embedding,0.26666666666666666,0.8666666666666667,0.9314814814814815,0.8781765441996437,0.8098821548821549,0.226
lexical_vs_embedding,semantic_euclidean,Semantic euclidean-derived,embedding,0.26666666666666666,0.8666666666666667,0.9314814814814815,0.8781765441996437,0.8098821548821549,0.21
lexical_vs_embedding,skills_jaccard,Skills Jaccard,embedding,0.23333333333333334,0.7333333333333333,0.8157531357531358,0.7481217031530997,0.6808966033966034,0.034
lexical_vs_embedding,soft_skill_embed,Soft skill embedding,embedding,0.28,0.9,0.9107142857142857,0.8688853265261552,0.8292328042328042,15.531
lexical_vs_embedding,multimodal_weighted,Multimodal weighted blend,embedding,0.2866666666666667,0.9333333333333333,0.9611111111111111,0.9237306496163087,0.867037037037037,0.258
lexical_vs_embedding,rrf_ensemble,RRF ensemble,embedding,0.29333333333333333,0.95,0.9444444444444444,0.9131413643600619,0.8451322751322751,0.953
ablation,semantic_only,Semantic only,single,0.26666666666666666,0.8666666666666667,0.9314814814814815,0.8781765441996437,0.8098821548821549,0.216
ablation,skills_only,Skills only,single,0.23333333333333334,0.7333333333333333,0.8157531357531358,0.7481217031530997,0.6808966033966034,0.039
ablation,experience_only,Experience only,single,0.16,0.4666666666666667,0.3837999037999038,0.3255899209101124,0.3135906685906686,0.019
ablation,compensation_only,Compensation only,single,0.18666666666666668,0.5666666666666667,0.45726107226107227,0.3929383746098049,0.3871796721796722,0.021
ablation,location_only,Location only,single,0.16666666666666669,0.4666666666666667,0.3878439153439153,0.33542663755060487,0.3275805675805676,0.019
ablation,semantic_skills,Semantic + skills,partial,0.2866666666666667,0.9333333333333333,0.9611111111111111,0.9169542356493255,0.867037037037037,0.28
ablation,semantic_skills_experience,Semantic + skills + experience,partial,0.2866666666666667,0.9333333333333333,0.9611111111111111,0.9167201386657392,0.8663888888888889,0.27
ablation,full_composite,Full composite,full,0.3066666666666667,0.9833333333333333,0.9444444444444444,0.9417188887299448,0.8958730158730158,0.261
ablation,rrf_ensemble,RRF ensemble,ensemble,0.23333333333333334,0.7166666666666667,0.5703418803418804,0.5643238416544605,0.49727106227106227,0.322
