baseline,compare,metric,baseline_mean,compare_mean,mean_diff,ci95_lo,ci95_hi,p_value,significant_at_05,wins,losses,ties,n_queries
Semantic only,Compensation only,nDCG@K,0.878177,0.392938,-0.485238,-0.628498,-0.345813,1.0,False,2,27,1,30
Semantic only,Compensation only,MRR,0.931481,0.457261,-0.47422,-0.610382,-0.328266,1.0,False,1,20,9,30
Semantic only,Experience only,nDCG@K,0.878177,0.32559,-0.552587,-0.702784,-0.390195,1.0,False,3,25,2,30
Semantic only,Experience only,MRR,0.931481,0.3838,-0.547682,-0.676544,-0.411506,1.0,False,1,23,6,30
Semantic only,Full composite,nDCG@K,0.878177,0.949236,0.071059,-0.015795,0.167315,0.0478,True,10,3,17,30
Semantic only,Full composite,MRR,0.931481,0.972222,0.040741,-0.022222,0.125926,0.1798,False,2,1,27,30
Semantic only,Location only,nDCG@K,0.878177,0.335427,-0.54275,-0.683031,-0.388718,1.0,False,5,25,0,30
Semantic only,Location only,MRR,0.931481,0.387844,-0.543638,-0.66332,-0.408889,1.0,False,1,23,6,30
Semantic only,RRF ensemble,nDCG@K,0.878177,0.564324,-0.313853,-0.45962,-0.175283,1.0,False,6,21,3,30
Semantic only,RRF ensemble,MRR,0.931481,0.570342,-0.36114,-0.482436,-0.230798,1.0,False,1,18,11,30
Semantic only,Semantic + skills,nDCG@K,0.878177,0.916954,0.038778,-0.007761,0.119851,0.0992,False,5,2,23,30
Semantic only,Semantic + skills,MRR,0.931481,0.961111,0.02963,0.0,0.088889,0.3576,False,1,0,29,30
Semantic only,Semantic + skills + experience,nDCG@K,0.878177,0.916318,0.038141,-0.00857,0.114733,0.1054,False,5,3,22,30
Semantic only,Semantic + skills + experience,MRR,0.931481,0.961111,0.02963,0.0,0.088889,0.36,False,1,0,29,30
Semantic only,Skills only,nDCG@K,0.878177,0.748122,-0.130055,-0.262584,-0.00077,0.976,False,5,16,9,30
Semantic only,Skills only,MRR,0.931481,0.815753,-0.115728,-0.247739,0.009115,0.9668,False,1,7,22,30
