file,job_id,condition,n_candidates,shortlist_has_labeled_relevant,top1_candidate,top1_score
job_01__score_only.html,job_01,score_only,5,True,cv_14,0.7342
job_01__generic_template.html,job_01,generic_template,5,True,cv_14,0.7342
job_01__factor_grounded.html,job_01,factor_grounded,5,True,cv_14,0.7342
job_02__score_only.html,job_02,score_only,5,True,cv_02,0.8055
job_02__generic_template.html,job_02,generic_template,5,True,cv_02,0.8055
job_02__factor_grounded.html,job_02,factor_grounded,5,True,cv_02,0.8055
job_03__score_only.html,job_03,score_only,5,True,cv_03,0.7869
job_03__generic_template.html,job_03,generic_template,5,True,cv_03,0.7869
job_03__factor_grounded.html,job_03,factor_grounded,5,True,cv_03,0.7869
job_04__score_only.html,job_04,score_only,5,True,cv_04,0.7833
job_04__generic_template.html,job_04,generic_template,5,True,cv_04,0.7833
job_04__factor_grounded.html,job_04,factor_grounded,5,True,cv_04,0.7833
job_05__score_only.html,job_05,score_only,5,True,cv_05,0.8071
job_05__generic_template.html,job_05,generic_template,5,True,cv_05,0.8071
job_05__factor_grounded.html,job_05,factor_grounded,5,True,cv_05,0.8071
job_06__score_only.html,job_06,score_only,5,True,cv_12,0.905
job_06__generic_template.html,job_06,generic_template,5,True,cv_12,0.905
job_06__factor_grounded.html,job_06,factor_grounded,5,True,cv_12,0.905
job_07__score_only.html,job_07,score_only,5,True,cv_09,0.8041
job_07__generic_template.html,job_07,generic_template,5,True,cv_09,0.8041
job_07__factor_grounded.html,job_07,factor_grounded,5,True,cv_09,0.8041
job_08__score_only.html,job_08,score_only,5,True,cv_16,0.8858
job_08__generic_template.html,job_08,generic_template,5,True,cv_16,0.8858
job_08__factor_grounded.html,job_08,factor_grounded,5,True,cv_16,0.8858
job_09__score_only.html,job_09,score_only,5,True,cv_19,0.7502
job_09__generic_template.html,job_09,generic_template,5,True,cv_19,0.7502
job_09__factor_grounded.html,job_09,factor_grounded,5,True,cv_19,0.7502
job_10__score_only.html,job_10,score_only,5,True,cv_27,0.8179
job_10__generic_template.html,job_10,generic_template,5,True,cv_27,0.8179
job_10__factor_grounded.html,job_10,factor_grounded,5,True,cv_27,0.8179
job_11__score_only.html,job_11,score_only,5,True,cv_20,0.7791
job_11__generic_template.html,job_11,generic_template,5,True,cv_20,0.7791
job_11__factor_grounded.html,job_11,factor_grounded,5,True,cv_20,0.7791
job_12__score_only.html,job_12,score_only,5,True,cv_25,0.8004
job_12__generic_template.html,job_12,generic_template,5,True,cv_25,0.8004
job_12__factor_grounded.html,job_12,factor_grounded,5,True,cv_25,0.8004
job_13__score_only.html,job_13,score_only,5,True,cv_08,0.7984
job_13__generic_template.html,job_13,generic_template,5,True,cv_08,0.7984
job_13__factor_grounded.html,job_13,factor_grounded,5,True,cv_08,0.7984
job_14__score_only.html,job_14,score_only,5,True,cv_15,0.7917
job_14__generic_template.html,job_14,generic_template,5,True,cv_15,0.7917
job_14__factor_grounded.html,job_14,factor_grounded,5,True,cv_15,0.7917
job_15__score_only.html,job_15,score_only,5,True,cv_10,0.7848
job_15__generic_template.html,job_15,generic_template,5,True,cv_10,0.7848
job_15__factor_grounded.html,job_15,factor_grounded,5,True,cv_10,0.7848
